sensor,spearman_r,absolute_spearman,signal
Ps30,-0.7819580532694728,0.7819580532694728,STRONG
T50,-0.7495590866157801,0.7495590866157801,STRONG
NRf,-0.7431301845384669,0.7431301845384669,STRONG
Nf,-0.734477549897021,0.734477549897021,STRONG
htBleed,-0.6984388942407164,0.6984388942407164,STRONG
T30,-0.6630951641185185,0.6630951641185185,STRONG
T24,-0.6533111089347277,0.6533111089347277,STRONG
Nc,-0.624744883085039,0.624744883085039,STRONG
NRc,-0.5372339720360296,0.5372339720360296,MODERATE
epr,-0.4819864473431858,0.4819864473431858,MODERATE
P15,-0.14345287236803766,0.14345287236803766,WEAK
W32,0.09138045652142045,0.09138045652142045,WEAK
W31,0.09117196778902724,0.09117196778902724,WEAK
BPR,-0.07780567782028566,0.07780567782028566,WEAK
P30,0.04114286786781447,0.04114286786781447,WEAK
phi,0.03936149538217122,0.03936149538217122,WEAK
T2,0.0,0.0,WEAK
P2,0.0,0.0,WEAK
farB,0.0,0.0,WEAK
PCNfR_dmd,0.0,0.0,WEAK
Nf_dmd,0.0,0.0,WEAK
